AAVE Sentence,Predicted SAE Translation,Target SAE Translation,BLEU Score
or i dont believe with the whole colin kaepernick thing you gotta remember he is his own person for one,i dont sing people the whole while class you got remember remember he is his own person one,i dont believe with the whole colin kaepernick thing youve got to remember he is his own person for one,0.3062859135460401
different attitudes cause you know a lot of people come in here they got attitudes about they [UNK],types because you know a lot of people come in the they got even about their fight,[UNK] because you know a lot of people come in here they have attitudes about their [UNK],0.5308492544859768
tryna get into some football some sports,to get into some football some sports,to get into some football some sports,1.0
so they dont beef in the club but they beef when they leave,they dont get in the club but they are when they leave,they dont [UNK] in the club but they [UNK] when they leave,0.46595384151899627
ima work until [UNK] and then do it,wouldnt going to work out goldman and and then,am going to work up to [UNK] and then [UNK] it,0.145490988721241
my mother say we might dont go,mother say we are dont go,mother says we might not go,0.049475702907177795
d either you gonna get shot or you gonna get stabbed,you you as a you are,up getting either shot or stabbed during a fight,0.022801552518095385
man i dont even wanna speak on that donald trump is your president obama is my president okay,dont not even to pay on that he he is your mother now is my mothers everything,do not want to speak about that donald trump is your president obama is my president okay,0.05600374888575559
it was like all,was all,was all,0.2213885886251307
u well like i mean if im gon,like no mean if im a,like i mean if im,0.25119835939119545
like when you leave in the morning and then you come back and like,when you leave in the house and then you come back and like,when you leave in the morning and then you come back and,0.6703420896351792
and i was just trying em,i was just,i was just tasting them,0.2955843652122688
did she ever give you your dollar back,she ever to your dollar back,she give you your dollar back,0.25119835939119545
its just like how dc changed over time,just how like to,dc changed over time,0.0
so like your first year,your your first year,during your first year,0.43146827293898643
i jump in it,jumped in it,jumped into it,0.08621454270909737
we was going to get our hair fix,were going to get our hair to,were going to get our hair done,0.8091067115702212
yeah thats what im saying its stores like right across the street or,that im am its from is right the street or,what i mean are there stores right across the street or,0.12510922580544004
going to the plays okay rdname2 lets go to the play you supposed to say when,to the street okay and do go to the team you at to say when,to the plays okay rdname2 lets go to the play youre supposed to say when,0.16515389927477095
had such bad times with teachers um what kind of teacher are you gonna be,some ever its with kids what kind of gentrification are you going to be,such bad times with teachers um what kind of teacher are you going to be,0.3409483338605691
no cause valdosta yeah,because language yes,because valdosta yeah,0.07249749990681824
and it was like oh you live right across the street,it said like you from right the street,we realized oh you live right across the street,0.07475095167059852
fucking watch where you going,and where you going you,attention to your surroundings,0.0
um i really appreciate you taking the time out to talk to me,really didn’t you think the time to to talk to me,really appreciate you taking the time out to talk to me,0.2998221389342337
its like [UNK] houses i actually [UNK] ended up writing a [UNK] literally like [UNK] on my street,like not to i actually to up up sign a lot to gentrification that on my neighborhood,are [UNK] houses i actually [UNK] ended up writing a [UNK] literally like [UNK] on my street,0.05600374888575559
dont havent you realized that,any have that,you realized that,0.07249749990681824
but you cant do that cause most of the time its a lot of [UNK] sitting around a lot of a lot of [UNK] and,you cannot do that because they of the time its a lot of gentrification between around a lot of a and,you cant do that because most of the times its a lot of dudes sitting around a lot of [UNK] and,0.31136127214408854
so its just like as the as,its just as for city,it is as the as,0.0456496931223525
had a lot going for [UNK] and,a lot for for months and,a lot going for himself and,0.11556377708900069
and at the end youll have um,at the end of have,at the end youll have,0.32184424080043433
that something that you can do,something can do not,you can do,0.16821895003341453
but then the same thing i see about the obamacare now,then same thing i see about the the,the same thing i see about obamacare now,0.5410822690539396
and but then i got into oh this is how they say it in the south and this is how they say it in the north and the [UNK] and,but then i have into the is how they say it is the stores and this is how their say it in the and the clicks and the,but then i got into this is how they say it in the south and this is how they say it in the north and the [UNK] and the,0.3631247648177023
get rochester rochester dont got nothing for me,rochester man did get anything for me,rochester rochester doesnt have anything for me,0.20748340713083765
theyre just being scared,people,being scared,0.0
like i feel as though,understand as less,feel as though,0.07249749990681824
what got you into cheerleading,has you get to,got you started into cheerleading,0.04753271977233425
we dont take it no more we take science [UNK] of family living i got a b,we it it if take recorder it football neighborhood has take a them have a friend,living is no longer a course at my school we have science instead of family living i got a b,0.017308614782994655
yeah we aint we dont like rdname2 whispered,we didnt we dont like that any,we didnt we dont like rdname2 whispered,0.6147881529512643
so cause you just told me a whole lot of stuff that i didnt know cause i dont really ive seen you and we went on this college tour together,you you just told me a lot lot of things that i didnt know because i went really told go i and we went on this college tour together,because you just told me a whole lot of stuff that i didnt know because i dont really ive seen you and we went on this college tour together,0.5464579418466106
yeah yeah,understand,understand,1.0
and dont tell nobody that you [UNK] for the [UNK] team,dont tell that that youre write for the success of,dont tell anyone that you [UNK] for the [UNK] team,0.08516138411042476
white and black its like other [UNK] and other [UNK] that feel like you gonna do something,people people are issue that other than and other subjects is is you you are going to do something,and black the issue is other [UNK] and other races that feel like you are going to do something bad,0.2945249417617953
no [UNK] you got yeah [UNK] and the ages stop at eighteen,no have have to have soccer keep doing close to at eighteen next the,teenagers you [UNK] you have to be a [UNK] up to the age of [UNK],0.04568772646936054
absolutely our football team was great but whether they won or l lost,our football we were great but they they are to unemployed,our football team was great but whether they [UNK] or lost,0.07762047774578669
and so here we got a federal [UNK] says oh,so here got a bond machine,here we have a federal [UNK] that says oh,0.027115768487627246
cause my dad in the middle,my dad in the middle,my dad in the middle,1.0
or your neighborhood [UNK] like,your the neighborhood say,in your neighborhood may cause you to [UNK],0.026701109166326675
your crib from the school,home of the school,house from the school,0.16821895003341453
its like its big its bigger than us,like it big going its,likeits big its larger than us,0.0444463871528882
you know how they have like the [UNK] on amazon its gonna be like [UNK] thousand like its gonna be like no ones gonna look at it,know how they have like the bench on fathers its going to be like no there like no going to be like no youre to to look at it,know how they have like the [UNK] on amazon its going to be like [UNK] thousand like its going to be like no ones going to look at it,0.4934352697917811
i didnt even understand what the hell [UNK] was talking about,didnt even understand what the to talking about,didnt even understand what [UNK] was talking about,0.4111336169005197
and what make me mad about that because they dont try to,what make me mad about that because they dont try to,what makes me mad about that because they dont try,0.6989307622784944
talk about boys,about us,about friends,0.06754436142034707
few other girls they have,had to good on,have a few other girls,0.0
[UNK] too much,too much,too much,0.2213885886251307
that shit gonna be crazy,going to be affordable,going to be crazy,0.43146827293898643
e [UNK] up with some science,up with some,up with science,0.21177974141341938
they didnt end up giving me a [UNK],the end they didnt end up letter a,the end they didnt give me a [UNK],0.3655552228545123
oh yeah yeah they did get married when we got out of high school,yes yes they did not open when we got out of high school,yes yes they did get married when we got out of high school,0.6703420896351792
like they got a [UNK] out here,have a accient to last out,have a [UNK] to dissect,0.10754421249521595
crackheads you see people [UNK],to see see to,and people [UNK],0.0
stupid games real stupid games,games do do games,games really stupid games,0.07258113984652705
like i think its gonna be a a lot easier for me i could take [UNK] of a lot of situations,i think its going to be a lot lot of me me i could take having of a lot of gentrification,i think its going to be a a lot easier for me i could take advantage of a lot of situations,0.5288048437910816
even she know how to [UNK] her class,she know how to spell her class,she knows how to [UNK] her class,0.1225276407029182
bruh what the fuck you got going on,happens you got you,are you doing,0.061033220311973134
s [UNK] aks [UNK] and [UNK],speaking point to i to,as [UNK] and [UNK],0.0
somebody was gonna get killed,was going to get affordable years,was going to get killing to get killed,0.36409302398068727
whyd you like it better,are you like it better,did you like it better,0.668740304976422
[UNK] all the schools up,all of the ratchetness up up,all of the schools [UNK],0.23376641384792204
and if you wanna knock out some days you have to clean out the [UNK],if you want to buy out your you you have to throw out of garbage,if you wanted to earn some days back you had to clean out the [UNK],0.05090643635966016
it was four of us and my father kind of left when i was three,was reading of us and my father kind of gentrification when i was here,were four of us and my father kind of left when i was three,0.5316967153331754
yeah ima come home,i will going to come home him,i am going to return to home,0.09744264611591712
they be like,players is say,attitude would be like,0.0
if you got oil they gonna take it if you got [UNK] they gonna take it,you got to they going to take it if you have or they going to take it,you have oil theyre going to take it if you have [UNK] theyre going to take it,0.5071960939456881
you thought i had been [UNK] with something no my bike cause i thought would never,thought have been with had started about with something no my father because i thought you have never,would have thought i had been attacked with something no my bike because i thought i would never,0.22250253290431038
uh okay im talking too much whispered,im talk too much,im talking too much whispered,0.14498534696702547
could you uh could you tell me a one of the funny episodes on on [UNK] [UNK] [UNK],you uh me a i the hands of on the bridge or on,you tell me one of the [UNK] episodes on the [UNK] [UNK],0.05823584617299056
you think [UNK] wanna come in,you think you to come come in,you think [UNK] would like to come in,0.11754788436674662
and i just kind of uh we just stayed there like me and my mama stayed there,i just kind of that just lived there like me and my house yes there,i just kind of we just stayed there like me and my mama stayed there,0.4333207865423752
we hear o everybody on the on the [UNK] talking about some i did it on my own i did it my own self made,hear we everybody is the on the told to with as do did it on my programs tv tv my it,hear o everybody on the on the [UNK] talking about how i did it on my own im self made,0.17509131039045966
um i liked that camp brown,i liked that,i liked camp brown,0.15174681566793558
and it had a um,there had a um,it had a,0.16821895003341453
ts she work at a hospital,is at a while,works at a hospital,0.16821895003341453
to knock off some days but,make money of,earn some days back but,0.0
and [UNK] me to like the,he to to,[UNK] me to the,0.05194672862155564
the other question i wanna ask you is okay so now weve,other is i want to ask you is okay so,other question i want to ask you is okay so now weve,0.6406914384370698
cause you really wanted to be a [UNK] huh,you think wanted to be a to,you really wanted to be [UNK] huh,0.20748340713083765
whered you go to middle [UNK],did you go to to,did you go for middle school,0.24521789586759227
im allowed to go in other neighborhoods because my [UNK] mostly,trying to go in your other because my father into in,allowed to go into other neighborhoods because my family is,0.08124031954514328
i know im thinking on this stuff right now laughing,know i thinking on this of right now,know im thinking on these things right now laughing,0.09399434553122407
but thats cool man but when uh um next time you think yall having a family [UNK],thats feels nice but when uh because time time you think having you some a lot to,that is okay but when is the next time you are thinking of having a family reunion,0.05388655281980997
little crazy cough,exciting crazy crazy when,a little crazy cough,0.061033220311973134
my mom luckily was like in the kitchen and the kitchen is like right by the door so she saw the [UNK] lights,mom was was like the nfl and the places is right by the door and she saw the face to,mom luckily was in the kitchen and the kitchen is right by the door so she saw the [UNK] lights,0.2812914871095839
cause i think theyll be one the best years of your life,i think if are one of the white of of your life,i think they be one of the best years of your life,0.2022534349573476
okay cool,great,good,0.0
but you still with him,you are still who him,you are still with him,0.32184424080043433
[UNK] in a [UNK] is okay like,in in in in,sex is okay,0.0
he still need a ride,still needs a ride,still needs a ride,1.0
and when was that,when that,long has that been,0.02484818193359921
than it was to love him,it see him,to love him,0.07249749990681824
um at a [UNK] [UNK] and youll learn you know stuff like a grade ahead of you im like,a minute to and have beafter beafter know things like a grade ago of you im like,a [UNK] [UNK] and youll learn you know stuff like a grade ahead of you im like,0.22637359354764466
i get em [UNK] in the jack daniels sauce put it on my [UNK] [UNK],get them involved in the park center right right get it on my grandmas to,get them tossed in the jack daniels sauce i put it on my [UNK] [UNK],0.12334391024342008
yeah like when when i went to rdschool2 i used to hang out there all the time cause its like right there,like when i i went to rdschool2 in used to hang out there all of the time because its like right there,like when when i went to rdschool2 i used to hang out there all of the time because its close by,0.6246594962744535
i have some [UNK] games at home,have some white to at home,have some [UNK] games at home,0.1374292659508281
oh yeah [UNK] i know where dunkin donuts at,yes no i know where work activities,yeah yelling i know where dunkin donuts is located,0.1450990433764745
cause like,life,like,0.0
yeah cause she was on [UNK] [UNK] but she was just an [UNK],because she was on he to but she was just a,because she was on [UNK] [UNK] but she was just an [UNK],0.42846977766678973
i dont know you can aks my friend,dont know you can ask my friend,dont know you can ask my friend,1.0
trick or [UNK] uh trick and [UNK] laugh,what jj to,or [UNK] laugh,0.0
yeah like they just got they [UNK] done like my [UNK] on [UNK],like they just have their own to with my best on on,like they just got their [UNK] done like my [UNK] are on [UNK],0.11580505418051565
ay you asked me about the [UNK] and i mentioned ms sister earlier ms sister used to call [UNK] grandmother,said me about the beach and i said thinking this talk talk and to delaware to,asked me about the [UNK] and i mentioned ms sister earlier ms sister used to call [UNK] grandmother,0.09123931618808147
kind of dont wanna stay in the [UNK] ive never wanted to stay in the [UNK] i for the last ten years i wanted to,of the want to stay in the bench im never wanted to stay in the corner of for the end year years i wanted to,of dont want to stay in the states ive never wanted to stay in the states i for the last ten years i wanted to,0.4516759456624302
me and her was having a meeting she just called me up one day shes like come over lets have a meeting im like alright,and her were having a big she just called me up to day and like come over to have a really im like alright,and her were having a meeting she just called me up one day shes like come over lets have a meeting im like alright,0.4195816336612071
[UNK] put his foot in my [UNK] real quick,in his birthday in my day,put his foot down real quick,0.03759340464156993
but she used to always like,she used to always,she used to always,1.0
my [UNK],manager,ninth,0.0
do you hear what im saying,you understand what,you understand,0.21177974141341938
she wants to do something too so she keep on doing it,would to do something every is loved helps on you it,wants to do something too she she keeps on doing it,0.13190955568171472
like what where are other places have yall have yall been to,what did are other places places that you have you to,what where are some other places you all have been to,0.07099876942640738
in [UNK],jersey,the [UNK],0.0
i aint r actually played it but you know i took it at school ill take it at school when i take gym thats the only time,didnt seen a part but you know i took it at school when name it at school when i was when thats the only time,didnt actually play it but you know i took it in school ill take it at school when i take gym thats the only time,0.4364460225519445
yeah when i was younger i wasnt here like i aint even know this [UNK],i was scared i was here i was last that only was that club,i was younger i didnt know that programs like the boys and girls club [UNK],0.04830888906063467
mmmm see i dont have friends like that,i dont have friends that that,i dont have friends like that,0.537284965911771
theyre like yeah [UNK] up and and [UNK] [UNK] in our in our neighborhood please,would to work up up in i they in in in our neighborhood neighborhood,agree and are [UNK] up and and [UNK] a [UNK] in our in our neighborhood please,0.08874804758120645
notice or if you see how the city is changing cause youre,people if it see how the big is it because youre,or if you see how the city is changing because youre,0.15879290035049448
so [UNK] j [UNK] was glad,we to in no,[UNK] [UNK] was glad,0.0
does that mean its a lot of a lot of members,that means its is a lot of gentrification,that mean there are a lot of members,0.17739111163122614
im im tryna you know figure things out like whats going on,think im am from to work out from is going on,am i am trying to figure things out and what is going on,0.11510890852804266
and i got six months to find a job,i got six with to find a job,i have six months to find a job,0.38260294162784475
you have a group of friends you ever play with,you have a particular of friends you you ever with with,you have a group of friends that you play with,0.15879290035049448
and it just show you,just said you,just shows you,0.08621454270909737
like,like,not like id wake up,0.01831563888873418
he say you bring back a dirty piece of paper ima jone on you,saw you can back a couple with of gentrification i on on mind on,said you bring back a dirty piece of paper im going to [UNK] you,0.049070511103326775
you can be successful they be like,can be anywhere but will like be,can be successful and people may still,0.081939171811711
girl you still got time,really are have time,you still have time,0.16821895003341453
it s it feel like,is is like,it feels like,0.07249749990681824
can change kind of your neighborhood and can change how people look at you and how people,a if your are can how people look at you and how people,change your neighborhood or change how people look at you and how people,0.5760844201603896
that just how that just how it went,how how that just how that happened,just how thats just how it went,0.09068059995923879
or whos gonna be,will going to be,whos going to be,0.43146827293898643
and we cool we,we laughing friends,we are cool we,0.05194672862155564
yep she works for a [UNK] um on the east side,have have for a he of on the east side,she works for a [UNK] um on the east side,0.31239399369202553
and the guy was like,the i,this guy said,0.0
ts i watched my mother [UNK] with that you know [UNK] with tryna um,i i my mother are with that you know about with talking to,i watched my mother [UNK] with that you know [UNK] with trying to um,0.23566578558703197
so i would ask you to like start at the beginning and tell me about kind of,i would ask you be at to pick and the those and tell me about times,i would like to ask you to start at the beginning and tell me about,0.22401521369401356
the years,years years,my time on campus,0.0
we would go by the some people were coming by to get the drugs you would see like,would go to the other people were to to get the and would see,would go by the some people came by to get drugs you would see,0.07679950026413179
and so loyalty now like the last two years i never thought of it this way,example last two two i never played of it last lady and,the past two years i never thought of loyalty this way,0.05678170484701192
i mean i was like,understand i was,mean i said,0.07249749990681824
laugh cause yall went to the same high school,because you all to the same high school,because you went to the same high school,0.5946035575013605
stopped going to church because of my [UNK],was going to do because of to my of,stopped going to church because i lost [UNK] in my [UNK],0.06019208559595749
yo i just,i just,i just,0.2213885886251307
i could understand fast like my grandma and my cousins,could think to like my mother and my uncle,could understand [UNK] like my grandma and my cousins,0.09452229951416066
like i dont think,think to think,[UNK] you to,0.07249749990681824
i look on the [UNK] theres flashy beautiful colors,look to the entire to and going needles of,look on the [UNK] there are flashy [UNK] colors,0.030601688609851067
and thats why i like him he aint mean,thats why i like him he didnt mean,thats why i like him he isnt mean,0.7071067811865475
dont nobody bother her its,doesnt your its,bothers her its,0.07249749990681824
none of em,of them,of them,0.2213885886251307
thats all i mostly know about it,all issue from got about it,the most i know about it,0.09717716588732002
thats good and bad in itself,good and and its is,both good and bad,0.12121093525642128
he do anything,does not,does anything,0.06754436142034707
this this science to it like nah man purple is the color,this it this no man is what nice,to it like no purple is the color,0.03763921292692165
now those four people gonna turn in to eight or nine people,the tossed people still going to start in to or people,those four people are going to turn into eight or nine people,0.059598797327820446
too cause that,because that,because that,0.2213885886251307
i done ha ive had a few,have a lot an,had a few,0.061033220311973134
um get s killed,my killed s,let him get killed,0.05194672862155564
those people i think are the [UNK] im,think are are i not attitude im,think those people are the most genuine,0.03848196746087264
it was being ran by a white guy,was about opportunities a white,was ran by a white guy,0.1098261401671543
like i am not gonna feel [UNK] because my hair doesnt really [UNK],i not going to feel for because my hair philosophy really,im not going to feel [UNK] because my hair doesnt really [UNK],0.3203558799120807
fifteen at the time he was still a young kid we were all still little kids but he had a gun,at the time he was still he person we were all treated the but he had a gun,at the time he was a young kid we were all young kids but he had a gun,0.47183720093512005
even if i w,if i was,if i,0.21177974141341938
hm if youre smart enough so you can get a scholarship,youre grown enough so can get a education,youre smart enough you can get a scholarship,0.18756826382863573
love she love him,loves him,loved him,0.06754436142034707
uh excuse me,me,me,1.0
okay i remember we was in wed just be in gym,i remember we were in competition godwins be in texas,i remember we were in wed just be in gym,0.4518010018049224
its like one of them houses where all the people,being lot of all of them people,a house where all of the people,0.09068059995923879
yall cannot be fighting yes we could be fighting because hes not gonna,all cannot be take yes we could be but he not going to,all can not fight yes we can fight because hes not going to,0.12807327174314076
i could tell i could tell y i could tell just about any racist white person,could tell i could could tell just talking any of person,could tell you i could tell just about any racist white person,0.16109513885995524
or just coming down here period,he coming coming in,just being there,0.0
rook,father,a [UNK],0.0
before it went to middle [UNK] cause it was middle school at one point,it went to middle money because it was middle school at one point,it went to middle [UNK] because it was middle school at one point,0.7611606003349892
hey but would you be able to do that without like that,you would to to do that that that,you be able to do that without,0.17739111163122614
the ball like is right there as soon as he snap the ball you ready to hit him,ball is right there as better as he is to ball you can supposed to hit him,ball is right there as soon as he [UNK] the ball you are ready to hit him,0.3405204944353418
their little barn or whatever by [UNK] or something like that,little building or whatever over or or something like that,little [UNK] or whatever by himself or something like that,0.32466791547509893
i want em to s i wanna see them do better,want them to s i want to see them do better,want them to s i want to see them do better,1.0
this is too much,is is too to,much is going on,0.061033220311973134
people how [UNK] how many how much people like you,how come how many people like you,how many how much people like you,0.2541142387823465
now im not little but,not judging but,not little anymore,0.07249749990681824
if a [UNK] of blood get on your bed then how you gonna feel,a tossed of gentrification get on your remember or youre you going going to feel,a [UNK] of blood get on your bed then how are you going to feel,0.16515389927477095
is that right how come you wanna be a doctor,that right how come you want to to doctor,that right why do you [UNK] be a doctor,0.07517081801936397
thats what we all have in common all three of us,what we all have in in to,what we all have in common,0.6147881529512643
yeah talking about that cheetah,talk about that about that months,are you talking about the cheetah print one,0.026936851496754878
i live in a apartment with my foster mom,lived in a side with my moms mom,live in an apartment with my foster mom,0.0847039252508118
she like she she like him now but he dont like her,said she she she he dont not like her,likes him now but he does not like her,0.15527289920984508
i gotta go whispered,have to go to,have to go,0.43146827293898643
nine oclock you gotta be home,no have to be home,oclock you have to be home,0.5475182535069453
oh you cant watch tv even though you finished your homework cause [UNK] didnt finish his homework and hes gonna be [UNK] like,you cant have anywhere i good you can your friends because that that them his everything he going to be affordable like,you cant watch tv even though you finished your homework because [UNK] didnt finish his homework and hes going to be [UNK] like,0.08146283216206707
youre like well its an island,think about over actual,think its an island,0.061033220311973134
[UNK] [UNK] my dad was [UNK] in l,to my dad was there in decatur,[UNK] my dad was born in l,0.20748340713083765
my hood girls gonna be mad because im talking to you and you my,mother girls are going to be im because im talking to you youre my,neighborhood girls are going to be mad because im talking to you and youre my,0.5336129799268557
i get that i get that,get that,understand,0.0
i do like uh um i do like [UNK],do like to do like,do like i do like [UNK],0.14034530985157564
rdschool4 like they are [UNK] and [UNK] and weird and like different and i do appreciate that about our city cause those are the people who would probably talk to,they are bums to say and said and like different and i do that that about our a because of are the people who would never talk to to,they are [UNK] and [UNK] and weird and like different and i do appreciate that about our city because those are the people who would probably talk to me,0.36752344561789696
and yeah,yes,yes,1.0
so you like r and b do you do a lot of parties and stuff,you like to and b do you do of lot of parties,you like r and b do you go to a lot of parties,0.32279203460361755
so in another words you have [UNK],in another thing you have to,in other words you have [UNK],0.10754421249521595
it have four,have us,has four,0.0
laugh yeah i got [UNK] more,yes have green of,i have [UNK] more,0.061033220311973134
its probably kind of cool right,you just,it feel nice,0.0
its a good thing,a good thing,a good thing,0.5757197301274735
that the person gonna die is it gonna happen just gonna happen that person just gonna die,person person is going to happen is it going to happen we going to happen just going going to,the person is going to die is it going to happen just going to happen that person is just going to die,0.4577398674868606
if you frozen again,you are in,you are frozen again,0.15174681566793558
you know with they with they food,you with they,their food,0.0
laugh did you call were you like [UNK],she you call were you like hey,did you call were you like let me try [UNK],0.4004970149398301
is it like turf like is it,it is like it,it [UNK] is it,0.08032423517939204
you [UNK] been had him like you coulda,are have had like you you could,couldve had him awhile ago like you could have,0.09207673976233019
and the three bears came back,three bears began back,three bears came back,0.18616487055295167
they might still think im about to take some something in the store,are consider im about to steal some something in the same,might think im about to steal some something from the store,0.47987820666906633
my uncles is out back playing dice its,mother is out in playing,uncles were out back playing dice its,0.03638962402527969
how far dc came and just how the world change,how he from come for me to,and how the world has [UNK],0.03235934848975789
you know my mom o had only had two kids my da my dad had other,mom was i the had to things had mom had father had my my,mom o had only had two kids my da my dad had others,0.027522672641022667
like if i have if im gonna be sitting watching sports most likely its gonna be football first,if i have if im going to be sit going a people going it going to be football work,if i have if im going to be sitting watching sports most likely its going to be football first,0.49883494354016517
the streets gonna,area is,street life,0.0
it going to be an interesting time to [UNK],going to be a senior time to attend,going to be an interesting time to [UNK],0.20757840628873095
come from from like out of town theyll be like yo whats up with the accent im like,from from the of the to like hey old up with the man im like,from from out of town theyre like hey whats up with the accent im like,0.14258397092929398
you know it was six grade like i said im being the only child,you was he grade i i said im was going to was was,it was sixth grade like i said i am [UNK] he only child,0.05823584617299056
my second year me coming down here,my third year kids boys and work club,my second year at the boys and girls club,0.07903950821132531
at me because i aint know the answer,me because didnt know the answer,because i didnt know the answer,0.537284965911771
when i got my [UNK] oh it was last year at august,when when my when the was i was last portfolio at she,was last year in august when i got my [UNK] license,0.06003934299439418
he he aint call you a bitch he just,he not call you a bitch just,did not call you a bitch he just,0.5797161910562567
i dont even like love and hip hop like that no more thats crazy,dont even like how and i think like that no interesting,dont even like love and hip hop like that anymore thats crazy,0.13951248267890293
but we d d we do have like,we do have say like,we would would have,0.05428693985879238
so i sat then he move,i asked up,i sat then he moved,0.03722145753922423
that sound like a motherfucker right there,sounds like a lot right right,sounds like a whole person,0.23376641384792204
everybody say they say bruh,is people say,says they say bruh,0.05194672862155564
shes a junior,is a junior,is a junior,0.5757197301274735
yeah she my friend but i dont hang with her that much,she my my friend but i dont not hang with that that,she is my friend but i do not hang out with her that much,0.23618189362022804
and we used to [UNK] them yeah just pee,used to choose to yes just away,used to [UNK] them just pee,0.09068059995923879
you sh sounds like you sure tried though laugh,blush michelle like youre take to,sh sounds like you tried,0.03759340464156993
thats thats my whole [UNK] ive [UNK] so much time thinking about what i wanna do,that my number requirement i hear so anything time is about what i want to do,thats my whole [UNK] ive spent so much time thinking about what i want to do,0.3334477432809602
as long as were tryna become [UNK] to them,as as were got trying to make myself to them,long as we are trying to become equal to them,0.08516138411042476
either y way i dont have no favorite teacher i just stay [UNK] and make sure i do all my work,i i dont have a favorite teacher i just do up and make it i do all my my work,y way i dont have a favorite teacher i just stay [UNK] and make sure i do all of my work,0.44905239525905916
