AAVE Sentence,Predicted SAE Translation,Target SAE Translation,BLEU Score
so cause you just told me a whole lot of stuff that i didnt know cause i dont really ive seen you and we went on this college tour together,because you just see me a lot lot of stuff that i didnt know because i dont really have seen you and we started on this high at,because you just told me a whole lot of stuff that i didnt know because i dont really ive seen you and we went on this college tour together,0.5166596366326881
yeah yeah,understand,understand,1.0
and dont tell nobody that you [UNK] for the [UNK] team,doesnt tell anyone that you need with the ball at,dont tell anyone that you [UNK] for the [UNK] team,0.2777619034011791
white and black its like other [UNK] and other [UNK] that feel like you gonna do something,and people are other and like guy and other that i are are you are going to do something,and black the issue is other [UNK] and other races that feel like you are going to do something bad,0.2945249417617953
no [UNK] you got yeah [UNK] and the ages stop at eighteen,telling you have with else sex strikes down most at at eighteen phone eighteen,teenagers you [UNK] you have to be a [UNK] up to the age of [UNK],0.03841864540917754
absolutely our football team was great but whether they won or l lost,home mother has was sorry but they they are or five,our football team was great but whether they [UNK] or lost,0.030544559360566513
and so here we got a federal [UNK] says oh,so here have a shuttle states so,here we have a federal [UNK] that says oh,0.06814441179181165
cause my dad in the middle,my dad in the middle,my dad in the middle,1.0
or your neighborhood [UNK] like,your the neighborhood all be in,in your neighborhood may cause you to [UNK],0.03545089024563954
your crib from the school,home has the school,house from the school,0.16821895003341453
its like its big its bigger than us,like like hard hard ten is,likeits big its larger than us,0.0
you know how they have like the [UNK] on amazon its gonna be like [UNK] thousand like its gonna be like no ones gonna look at it,know how they have the the community on the its going to be like three like like its going to be like no lets like to look at it,know how they have like the [UNK] on amazon its going to be like [UNK] thousand like its going to be like no ones going to look at it,0.4989493688357019
i didnt even understand what the hell [UNK] was talking about,did even say what the up about,didnt even understand what [UNK] was talking about,0.036917987119846896
and what make me mad about that because they dont try to,what make me mad about that because they do talk to,what makes me mad about that because they dont try,0.47987820666906633
talk about boys,about there,about friends,0.06754436142034707
few other girls they have,are have they,have a few other girls,0.03722145753922423
[UNK] too much,too thats,too much,0.06754436142034707
that shit gonna be crazy,that to be hard,going to be crazy,0.16821895003341453
e [UNK] up with some science,with with some,up with science,0.07249749990681824
they didnt end up giving me a [UNK],me end they didnt doing me they touch,the end they didnt give me a [UNK],0.17739111163122614
oh yeah yeah they did get married when we got out of high school,yes they they did get to when we have out of high school,yes yes they did get married when we got out of high school,0.33260249505555045
like they got a [UNK] out here,have a ball out their,have a [UNK] to dissect,0.12121093525642128
crackheads you see people [UNK],i people see with,and people [UNK],0.061033220311973134
stupid games real stupid games,games do games,games really stupid games,0.06177541927786947
like i think its gonna be a a lot easier for me i could take [UNK] of a lot of situations,i think its going to be a lot lot between for me i could take putting of a lot of,i think its going to be a a lot easier for me i could take advantage of a lot of situations,0.585231601710691
even she know how to [UNK] her class,she know how to me her,she knows how to [UNK] her class,0.09782262536517172
bruh what the fuck you got going on,is what do going,are you doing,0.0
s [UNK] aks [UNK] and [UNK],somebody allen and five,as [UNK] and [UNK],0.061033220311973134
somebody was gonna get killed,was going to get shooting,was going to get killing to get killed,0.3670124608961283
whyd you like it better,you you like it better,did you like it better,0.668740304976422
[UNK] all the schools up,with the the end up up,all of the schools [UNK],0.03759340464156993
and if you wanna knock out some days you have to clean out the [UNK],if you want to get them some you you have to stay out the door,if you wanted to earn some days back you had to clean out the [UNK],0.06505263294751316
it was four of us and my father kind of left when i was three,was certain of us and my parents kind of went when i was mad,were four of us and my father kind of left when i was three,0.2865612242047131
yeah ima come home,i will going to come home home,i am going to return to home,0.09744264611591712
they be like,leadership say that,attitude would be like,0.0
if you got oil they gonna take it if you got [UNK] they gonna take it,you have here the going to take it if you have run they will to take it,you have oil theyre going to take it if you have [UNK] theyre going to take it,0.4615425015629849
you thought i had been [UNK] with something no my bike cause i thought would never,felt have been with had sex with with that situation because job because i thought would have,would have thought i had been attacked with something no my bike because i thought i would never,0.09848698582542209
uh okay im talking too much whispered,im actually too much,im talking too much whispered,0.14498534696702547
could you uh could you tell me a one of the funny episodes on on [UNK] [UNK] [UNK],you uh me a of the books or on on way on on,you tell me one of the [UNK] episodes on the [UNK] [UNK],0.05564101947390608
you think [UNK] wanna come in,not think me to come in come in,you think [UNK] would like to come in,0.17739111163122614
and i just kind of uh we just stayed there like me and my mama stayed there,i just kind of things just sit there like me and my mom ran away,i just kind of we just stayed there like me and my mama stayed there,0.42311785416105785
we hear o everybody on the on the [UNK] talking about some i did it on my own i did it my own self made,did as about on the way reasons ball about about the i did it on my own i i and,hear o everybody on the on the [UNK] talking about how i did it on my own im self made,0.28051550320162943
um i liked that camp brown,i liked that,i liked camp brown,0.15174681566793558
and it had a um,it had a,it had a,0.5757197301274735
ts she work at a hospital,is at a rival,works at a hospital,0.16821895003341453
to knock off some days but,look over certain,earn some days back but,0.0
and [UNK] me to like the,told me to like,[UNK] me to the,0.16821895003341453
the other question i wanna ask you is okay so now weve,other classic i want to ask you is okay so now,other question i want to ask you is okay so now weve,0.7369231628533763
cause you really wanted to be a [UNK] huh,you really scared to be a to,you really wanted to be [UNK] huh,0.1158794880657409
whered you go to middle [UNK],did you go to my back,did you go for middle school,0.23376641384792204
im allowed to go in other neighborhoods because my [UNK] mostly,support to go in certain red because my father,allowed to go into other neighborhoods because my family is,0.07999297204820358
i know im thinking on this stuff right now laughing,know i thinking on this show show now,know im thinking on these things right now laughing,0.07475095167059852
but thats cool man but when uh um next time you think yall having a family [UNK],thats is good but when when the time a you are not you friends a family playing,that is okay but when is the next time you are thinking of having a family reunion,0.06599727920303423
little crazy cough,exciting reason cycle,a little crazy cough,0.0
my mom luckily was like in the kitchen and the kitchen is like right by the door so she saw the [UNK] lights,mom gave like in the show kenilworth the kenilworth is kenilworth by the door so she saw the best,mom luckily was in the kitchen and the kitchen is right by the door so she saw the [UNK] lights,0.34779310158558213
cause i think theyll be one the best years of your life,i think youre be it the the second had have all life,i think they be one of the best years of your life,0.06003934299439418
okay cool,good,good,1.0
but you still with him,you still still with him,you are still with him,0.32184424080043433
[UNK] in a [UNK] is okay like,in in an is,sex is okay,0.061033220311973134
he still need a ride,still needs a ride,still needs a ride,1.0
and when was that,was that that,long has that been,0.05194672862155564
than it was to love him,it love,to love him,0.04096772609215166
um at a [UNK] [UNK] and youll learn you know stuff like a grade ahead of you im like,a pain with and take buy or know that a money turned in you im like,a [UNK] [UNK] and youll learn you know stuff like a grade ahead of you im like,0.0912093392292895
i get em [UNK] in the jack daniels sauce put it on my [UNK] [UNK],get them get in the community level dance it was it on my best,get them tossed in the jack daniels sauce i put it on my [UNK] [UNK],0.12330178102983679
yeah like when when i went to rdschool2 i used to hang out there all the time cause its like right there,like when when i went to rdschool2 i used to hang out there all of the time because its like right there,like when when i went to rdschool2 i used to hang out there all of the time because its close by,0.8531833263091443
i have some [UNK] games at home,have some friends at at home,have some [UNK] games at home,0.1374292659508281
oh yeah [UNK] i know where dunkin donuts at,oh when i know where is is at,yeah yelling i know where dunkin donuts is located,0.15654710656059528
cause like,lets,like,0.0
yeah cause she was on [UNK] [UNK] but she was just an [UNK],because she was on president until he she was just a few,because she was on [UNK] [UNK] but she was just an [UNK],0.30661487102926754
i dont know you can aks my friend,dont know you can watch my job,dont know you can ask my friend,0.4347208719449914
trick or [UNK] uh trick and [UNK] laugh,or else away yes,or [UNK] laugh,0.061033220311973134
yeah like they just got they [UNK] done like my [UNK] on [UNK],like they just have they beat on they my best on me me,like they just got their [UNK] done like my [UNK] are on [UNK],0.11057078116370667
ay you asked me about the [UNK] and i mentioned ms sister earlier ms sister used to call [UNK] grandmother,are me about the best and i said crazy one and her to walk me up,asked me about the [UNK] and i mentioned ms sister earlier ms sister used to call [UNK] grandmother,0.09123931618808147
kind of dont wanna stay in the [UNK] ive never wanted to stay in the [UNK] i for the last ten years i wanted to,of not want to stay in the middle i never wanted to stay in the nineties i have the end cycle yet i talk to,of dont want to stay in the states ive never wanted to stay in the states i for the last ten years i wanted to,0.3589485409071449
me and her was having a meeting she just called me up one day shes like come over lets have a meeting im like alright,and her were having a fun she just see me up one day she like we to to have knock like alright to,and her were having a meeting she just called me up one day shes like come over lets have a meeting im like alright,0.29913961908294406
[UNK] put his foot in my [UNK] real quick,around his dad at,put his foot down real quick,0.03701851938020757
but she used to always like,she used to always like,she used to always,0.668740304976422
my [UNK],best,ninth,0.0
do you hear what im saying,you hear what,you understand,0.07249749990681824
she wants to do something too so she keep on doing it,was to do something too so would keep on doing it,wants to do something too she she keeps on doing it,0.33932513407933634
like what where are other places have yall have yall been to,what what are some a yall yall all have to to,what where are some other places you all have been to,0.08124031954514328
in [UNK],order,the [UNK],0.0
i aint r actually played it but you know i took it at school ill take it at school when i take gym thats the only time,did actually him because but you know i went i at school theyll take it at school when i wouldve okay thats the only time,didnt actually play it but you know i took it in school ill take it at school when i take gym thats the only time,0.39022736644855677
yeah when i was younger i wasnt here like i aint even know this [UNK],when was scared i was was when i i i issue is anyone,i was younger i didnt know that programs like the boys and girls club [UNK],0.041987339391450273
mmmm see i dont have friends like that,i dont have friends like that,i dont have friends like that,1.0
theyre like yeah [UNK] up and and [UNK] [UNK] in our in our neighborhood please,like up they us up and put put up in in front heartbeat heartbeat,agree and are [UNK] up and and [UNK] a [UNK] in our in our neighborhood please,0.04253814160491989
notice or if you see how the city is changing cause youre,or if you see how the whole is because because you,or if you see how the city is changing because youre,0.49616830003403634
so [UNK] j [UNK] was glad,somebody somebody with fun,[UNK] [UNK] was glad,0.0
does that mean its a lot of a lot of members,that means means is a lot of a,that mean there are a lot of members,0.17739111163122614
im im tryna you know figure things out like whats going on,im going talk going to know everybody out like im is going on,am i am trying to figure things out and what is going on,0.11057078116370667
and i got six months to find a job,i have six enough to come a job,i have six months to find a job,0.21725885420079705
you have a group of friends you ever play with,you have a particular of friends you you can with,you have a group of friends that you play with,0.17599531690857192
and it just show you,just just me,just shows you,0.07249749990681824
like,like the,not like id wake up,0.015071184180845467
he say you bring back a dirty piece of paper ima jone on you,says you will me a opinion of of paper im going to look on,said you bring back a dirty piece of paper im going to [UNK] you,0.2891784933232572
you can be successful they be like,can be yourself they they like like like,can be successful and people may still,0.07122722710132624
girl you still got time,you still have a,you still have time,0.43146827293898643
it s it feel like,is is not,it feels like,0.0
can change kind of your neighborhood and can change how people look at you and how people,a of number and of of people are how you and how people are,change your neighborhood or change how people look at you and how people,0.19674979811155635
that just how that just how it went,how how that that how it,just how thats just how it went,0.09103421049495312
or whos gonna be,is going to be,whos going to be,0.43146827293898643
and we cool we,we laughing good we,we are cool we,0.07258113984652705
yep she works for a [UNK] um on the east side,she works for a ball on on the person,she works for a [UNK] um on the east side,0.31762152032055835
and the guy was like,the lady i,this guy said,0.0
ts i watched my mother [UNK] with that you know [UNK] with tryna um,i saw my mother moved with that you know somebody with talk to,i watched my mother [UNK] with that you know [UNK] with trying to um,0.23566578558703197
so i would ask you to like start at the beginning and tell me about kind of,i would ask you to to to try at the best and tell me thats kind,i would like to ask you to start at the beginning and tell me about,0.17013520490346046
the years,the till,my time on campus,0.0
we would go by the some people were coming by to get the drugs you would see like,would go over the people people were together to get the to would see,would go by the some people came by to get drugs you would see,0.07679950026413179
and so loyalty now like the last two years i never thought of it this way,so end in the in never had of it this has,the past two years i never thought of loyalty this way,0.030544559360566513
i mean i was like,mean i was,mean i said,0.21177974141341938
laugh cause yall went to the same high school,when you all to the same high school,because you went to the same high school,0.5410822690539396
stopped going to church because of my [UNK],wouldnt going to feel because of of to the community,stopped going to church because i lost [UNK] in my [UNK],0.05702871379988104
yo i just,i just,i just,0.2213885886251307
i could understand fast like my grandma and my cousins,could relate in like my life and my sister,could understand [UNK] like my grandma and my cousins,0.09452229951416066
like i dont think,think do think,[UNK] you to,0.0
i look on the [UNK] theres flashy beautiful colors,look to the alone solving is weeks as,look on the [UNK] there are flashy [UNK] colors,0.03001448585400683
and thats why i like him he aint mean,thats why i like him he is,thats why i like him he isnt mean,0.7013967267997694
dont nobody bother her its,was him name,bothers her its,0.0
none of em,of them,of them,0.2213885886251307
thats all i mostly know about it,all i thing all how it,the most i know about it,0.044706344276931285
thats good and bad in itself,good and in were in,both good and bad,0.12121093525642128
he do anything,does not,does anything,0.06754436142034707
this this science to it like nah man purple is the color,this this is it old is no color,to it like no purple is the color,0.040445966468773985
now those four people gonna turn in to eight or nine people,those kids people are going to be in to areas,those four people are going to turn into eight or nine people,0.22741221234802106
too cause that,because that,because that,0.2213885886251307
i done ha ive had a few,have done great,had a few,0.0
um get s killed,event interesting,let him get killed,0.0
those people i think are the [UNK] im,dont or sing from the doubt i,think those people are the most genuine,0.03235934848975789
it was being ran by a white guy,was formerly by a negative guy,was ran by a white guy,0.11556377708900069
like i am not gonna feel [UNK] because my hair doesnt really [UNK],i not not to leave rdname3 because my mom im really threw,im not going to feel [UNK] because my hair doesnt really [UNK],0.0628392861239482
fifteen at the time he was still a young kid we were all still little kids but he had a gun,at the time eleventh was an kid kids we were walking who friends but he had a drug,at the time he was a young kid we were all young kids but he had a gun,0.23287896954139942
even if i w,if i,if i,0.2213885886251307
hm if youre smart enough so you can get a scholarship,you having yes so can get a new,youre smart enough you can get a scholarship,0.17739111163122614
love she love him,loves him,loved him,0.06754436142034707
uh excuse me,me,me,1.0
okay i remember we was in wed just be in gym,i remember we were in a just would in,i remember we were in wed just be in gym,0.4344371253135792
its like one of them houses where all the people,like of of all of the people,a house where all of the people,0.41113361690051975
yall cannot be fighting yes we could be fighting because hes not gonna,all all have have over we would be over she not going to,all can not fight yes we can fight because hes not going to,0.11057078116370667
i could tell i could tell y i could tell just about any racist white person,could see i could could tell why about any there stuff this,could tell you i could tell just about any racist white person,0.08270115146021437
obamacare be like okay,like okay,is like okay,0.13427896671164932
or just coming down here period,just come down and,just being there,0.061033220311973134
rook,understand of,a [UNK],0.0
before it went to middle [UNK] cause it was middle school at one point,it went to rdschool4 back because it was hit school at one point,it went to middle [UNK] because it was middle school at one point,0.35740464043618275
hey but would you be able to do that without like that,you are able to do that that,you be able to do that without,0.4347208719449914
the ball like is right there as soon as he snap the ball you ready to hit him,flintstones like like right are right as well if to ball you dont t to call him,ball is right there as soon as he [UNK] the ball you are ready to hit him,0.04709335167880109
their little barn or whatever by [UNK] or something like that,other thing than is is wrong like something like that,little [UNK] or whatever by himself or something like that,0.12867201458772706
i want em to s i wanna see them do better,want them to i i want to see them do better,want them to s i want to see them do better,0.7016879391277372
this is too much,this too too of,much is going on,0.0
people how [UNK] how many how much people like you,that white how about about that that,how many how much people like you,0.03235934848975789
now im not little but,not a but,not little anymore,0.07249749990681824
if a [UNK] of blood get on your bed then how you gonna feel,a called of them on on your marbles and you you you going to feel,a [UNK] of blood get on your bed then how are you going to feel,0.2102369368326755
is that right how come you wanna be a doctor,that are how are you want to a,that right why do you [UNK] be a doctor,0.03321648882373042
thats what we all have in common all three of us,what we all have in your of,what we all have in common,0.6147881529512643
yeah talking about that cheetah,you you that about that issue neighborhood,are you talking about the cheetah print one,0.033359167130736105
i live in a apartment with my foster mom,lived in a dress with my foster mom,live in an apartment with my foster mom,0.3655552228545123
she like she she like him now but he dont like her,said she now he he says not like her,likes him now but he does not like her,0.16418110161559327
i gotta go whispered,have to go,have to go,0.5757197301274735
nine oclock you gotta be home,years have to be home,oclock you have to be home,0.5475182535069453
oh you cant watch tv even though you finished your homework cause [UNK] didnt finish his homework and hes gonna be [UNK] like,you cannot cannot anything even though you look your birthday and she didnt let and birthday and im going to be me like,you cant watch tv even though you finished your homework because [UNK] didnt finish his homework and hes going to be [UNK] like,0.10674492028087437
youre like well its an island,like well a,think its an island,0.0
[UNK] [UNK] my dad was [UNK] in l,with my dad who me in,[UNK] my dad was born in l,0.09103421049495312
my hood girls gonna be mad because im talking to you and you my,neighborhood i want going to be prosperous because im well to you and you my,neighborhood girls are going to be mad because im talking to you and youre my,0.16956187271445752
i get that i get that,get that,understand,0.0
i do like uh um i do like [UNK],do like uh do like i,do like i do like [UNK],0.293945703509473
rdschool4 like they are [UNK] and [UNK] and weird and like different and i do appreciate that about our city cause those are the people who would probably talk to,they are somebody and m and m and like there and i do one and about and boys because i do not people who are talk talk to the,they are [UNK] and [UNK] and weird and like different and i do appreciate that about our city because those are the people who would probably talk to me,0.0881042940584692
and yeah,yes,yes,1.0
so you like r and b do you do a lot of parties and stuff,you like wars and now do you do a them lot of them and,you like r and b do you go to a lot of parties,0.07679950026413179
so in another words you have [UNK],in another barnabas you have,in other words you have [UNK],0.1098261401671543
it have four,would been,has four,0.0
laugh yeah i got [UNK] more,i got safe more,i have [UNK] more,0.07258113984652705
its probably kind of cool right,not is kind of,it feel nice,0.0
its a good thing,a good thing,a good thing,0.5757197301274735
that the person gonna die is it gonna happen just gonna happen that person just gonna die,person person is going toif exeter that going going to happen that just to happen that person just going going to die,the person is going to die is it going to happen just going to happen that person is just going to die,0.3089751861923347
if you frozen again,you uh having,you are frozen again,0.05194672862155564
you know with they with they food,the young they,their food,0.0
laugh did you call were you like [UNK],you you kept were you like me you,did you call were you like let me try [UNK],0.14607831074908537
is it like turf like is it,the visibly is the,it [UNK] is it,0.061033220311973134
you [UNK] been had him like you coulda,took an had he you you have have,couldve had him awhile ago like you could have,0.03321648882373042
and the three [UNK] came back,three bears and back,three bears came back,0.18616487055295167
they might still think im about to take some something in the store,did still im about to take some in in the store,might think im about to steal some something from the store,0.1527898075109779
my uncles is out back playing dice its,grandma ththose moving at,uncles were out back playing dice its,0.0
how far dc came and just how the world change,far my three mother and say of,and how the world has [UNK],0.03235934848975789
you know my mom o had only had two kids my da my dad had other,mom used at my had a my my mother turned mother and times,mom o had only had two kids my da my dad had others,0.026480261910431388
like if i have if im gonna be sitting watching sports most likely its gonna be football first,if i have if i going to be sit out most is its going to be playing first,if i have if im going to be sitting watching sports most likely its going to be football first,0.32632300872588926
the streets gonna,income is,street life,0.0
it going to be an interesting time to [UNK],going to be a test teacher to me,going to be an interesting time to [UNK],0.17739111163122614
come from from like out of town theyll be like yo whats up with the accent im like,from from the in the of be hey the the with the next im like,from from out of town theyre like hey whats up with the accent im like,0.07199257271191425
you know it was six grade like i said im being the only child,i was cost grade i i said im am like the way the,it was sixth grade like i said i am [UNK] he only child,0.06052392544253967
my second year me coming down here,my back year me the neighborhood girls club,my second year at the boys and girls club,0.07903950821132531
at me because i aint know the answer,me i didnt know the whole,because i didnt know the answer,0.5081327481546147
when i got my [UNK] oh it was last year at august,was my my if me clothes it was about year at,was last year in august when i got my [UNK] license,0.028424915360075714
he he aint call you a bitch he just,does not volunteer you a bitch and just,did not call you a bitch he just,0.18756826382863573
i dont even like love and hip hop like that no more thats crazy,dont blame like him and like like like that no like like,dont even like love and hip hop like that anymore thats crazy,0.06003934299439418
but we d d we do have like,we remember remember have like,we would would have,0.05428693985879238
so i sat then he move,i left to they moved,i sat then he moved,0.05428693985879238
that sound like a motherfucker right there,i like a sister story right,sounds like a whole person,0.09717716588732002
everybody say they say bruh,is they say bruh,says they say bruh,0.43146827293898643
shes a junior,is a junior,is a junior,0.5757197301274735
yeah she my friend but i dont hang with her that much,she is my friend but i dont not hang with with that that thats,she is my friend but i do not hang out with her that much,0.4160751652217845
and we used to [UNK] them yeah just pee,used to start them talking just,used to [UNK] them just pee,0.11556377708900069
you sh sounds like you sure tried though laugh,supportyyoure yes like you two to,sh sounds like you tried,0.09717716588732002
thats thats my whole [UNK] ive [UNK] so much time thinking about what i wanna do,my my mom story i might go i of or about what i want to do,thats my whole [UNK] ive spent so much time thinking about what i want to do,0.31314224813827346
as long as were tryna become [UNK] to them,a as that are going to me me me them,long as we are trying to become equal to them,0.033173907815632314
