AAVE,SAE
"mm, /rd-school-3/ junior high, i got involved in sports.","/rd-school-3/ junior high, i got involved in sports."
"but, i mean i- everyday was a great day for me at school.","but, i mean everyday was a great day for me at school."
"cursing. well actually, i wrote a girl a note cussing her out.","cursing. well actually, i wrote a girl a note cursing her out."
"and he told me that i was an ath- student athlete, blah blah blah.","and he told me that i was a student athlete, talk, talk, talk.."
and how great i was and i don't need to do this and that's why i don't curse.,and how great i was and how i don't need to do this and that's why i don't curse.
seventh gr- seventh or eighth grade.,seventh seventh or eighth grade.
cause it was /rd-school-3/ junior high school then. yeah.,because it was /rd-school-3/ junior high school then. yes.
cause she wrote me a cur- i can't even remember her name now.,because she wrote me a - i can't even remember her name now.
and he told you don't cuss cause you a sci- a [student athlete?],and he told you don't curse because you are - a [student athlete?]
"[well, you know] to that, i mean there was- back- this is not me. i'm a student athlete, blah blah blah.","[well, you know] to that, i mean there was - this is not me. i'm a student athlete, talk, talk, talk."
[thirty] years. yeah.,[thirty] years. yes.
so-so.,i was ok
mkay.,ok
"what was your favorite subject in high s- i mean, in- what was your favorite subject up to this point?","what was your favorite subject in high school- i mean, in- what was your favorite subject up to this point?"
social studies we had to do- mrs. /rd-name-1/. i had great teachers.,in social studies we had to do- mrs. /rd-name-1/. i had great teachers.
"ms.- like i said, mrs. /rd-name-1/ was social studies with all those presidents projects.","ms.- like i said, mrs. /rd-name-1/ was social studies with all of those presidents projects."
"teacher when i was in fifth grade. then became an assistant principle. i don't know if he became a principal principal, but then got into trouble. so i don't know where he is now.","teacher when i was in fifth grade. then became an assistant principle. i don't know if he became a main principal, but then got into trouble. so i don't know where he is now."
my first language arts teacher that i- r- it was the end of the school year. she started reading-,my first language arts teacher that - it was the end of the school year. she started reading-
"reading edgar allen poe to us. and i don't remember what t- uh the story was,","reading edgar allen poe to us. and i don't remember what the story was,"
moment by moment what was she gonna s- this was fourth grade.,moment by moment what was she going to say- this was fourth grade.
[what wa-],[what -]
"[i'm not] sure cause i used to- like i said, math, i loved math.","[i'm not] sure because i used to- like i said, math, i loved math."
even when they fight. i love- i wanna jump in the fight. let me get in.,even when they fight. i love- i want to jump in the fight. let me get in.
you gonna be getting in enough fights.,you're going to be getting into enough fights.
"um, so,","so,"
"the other question i wanna ask you is- okay so, now we've","the other question i want to ask you is- okay so, now we've"
[but that was coach] that was- [he was a coach he was a football] [coach i -think]. mm-hm.,[but that was coach] that was- [he was a coach he was a football] [coach i -think].
do you think that made it different. like as oppo- if he wasn't a coach that wouldn't have-,do you think that made it different. like as oppossed to- if he wasn't a coach that wouldn't have-
"it wouldn't have mattered to y- not mattered, but it wouldn't have had the same","it wouldn't have mattered to- not mattered, but it wouldn't have had the same"
"again, i mean just s- still thinking of the teachers that i've had. ms. /rd-name-3/,","again, i mean just still thinking of the teachers that i've had. ms. /rd-name-3/,"
"so called, mean or tough,","considered mean or tough,"
but i mean that- that whole moment about you're a student athlete. you're- don't cuss this girl- don't,but i mean that whole moment about you're a student athlete. you're- don't curse this girl- don't
say cuss words or whatever.,say curse words or whatever.
oh [mm-hm.],oh
"[a] after school detention. i'm not even quite sure for what, cause i was not a bad student.","[a] after school detention. i'm not even quite sure for what, because i was not a bad student."
and that's why i can't understand why i got whoopings.,and that's why i can't understand why i got spankings.
cause i was not a bad child.,because i was not a bad child.
the reason.,was the reason.
we getting into some deep seated [/??/ issues.],we are getting into some deep seated issues.
[i know] i'm thinking on this stuff right now. (laughing),[i know] i'm thinking on these things right now. (laughing)
"absolutely. our football team was great, but whether they won or l- lost,","absolutely. our football team was great, but whether they won or lost,"
cause i- i mean that was nineteen /blah blah/.,because i mean that was nineteen.
so how was [the- at the],so how was the
[right the school- the f-],[right the school- the
[yeah.],yes
[and then the f-],[and then the 
it is so odd now that i look at it thinking about the /gloop-/ groups and the clicks.,it is so odd now that i look at it thinking about the groups and the clicks.
do you know what i'm [saying.] like we were all treated the s- at least i felt that way- treated the same.,"do you know what i'm [saying.] like we were all treated the, at least i felt that way- treated the same."
/hotal-/,total
[what- mm-hm.],what?
"because we have like, the so called, honest kids.","because we have, the so called, honest kids."
but they all are not honest kid- but they are p- predominantly-,but they all are not honest kids- but they are predominantly-
and like their parents don't want them to,and their parents don't want them to
"yeah, with the other kids.","yes, with the other kids."
so isn- for a lot of people- oh it's the numbers and they get all excited.,so isn't for a lot of people- oh it's the numbers and they get excited.
"it's more than just responsibility cause i have a responsibility, /for/ that student. even though that student is thirteen, fourteen","it's more than just responsibility because i have a responsibility, /for/ that student. even though that student is thirteen, fourteen"
and i just jumped subjects. i didn't mean to do that cause we started on valdosta high [school.],and i just switched subjects. i didn't mean to do that because we started on valdosta high [school.]
"[mm], but that's- but you still talking about /rd-school-3/ high school.", but that's- but you are still talking about /rd-school-3/ high school.
"yeah, but now in a different-","yes, but now in a different-"
co- i'm saying as a- as a classroom teacher., i'm saying as a classroom teacher.
"thinking about how y- how you got into education, or how you- or even thinking about your own journey as a","thinking about how you got into education, or how you- or even thinking about your own journey as a"
don't- haven't you realized [that?],haven't you realized [that?]
[mm.] you have.,you have.
and i'm always spending my- well my- s- my free time,and i'm always spending my- wellmy free time
"you know open up the che- come on kids, what do we got- i don't know. come let's do something.","you know open up the - come on kids, what do we have- i don't know. come let's do something."
you know i'm thinking. why did i spend all my- i could be putting my [ideas] into,you know i'm thinking. why did i spend all of my- i could be putting my [ideas] into
oh i can't wait til i start making this amount of money.,oh i can't wait until i start making this amount of money.
it's n-,it's
"if the money comes, wonderful. is it- if it doesn't,","if the money comes, wonderful. if it doesn't,"
"so they gonna bully, i'll be the biggest bully, cause that's not allowed.","so they are will bully, i'll be the biggest bully, because that's not allowed."
j- raising your hand. w-,raising your hand. 
but it is. [it's very- it's very important] to me.,but it is. [it's very important] to me.
but you were- w-,but you were
"what did you just [say? you've always, always] been an educator, isn't that what you just said?","what did you just [say? you've always, been an educator, isn't that what you just said?"
"[oh lord, /i'm'a gonna die/] (whispered)","[oh lord, /i'm'a going to die/] (whispered)"
"all these wonderful educators that were in your life, when you were in the /rd-school-3/ city school system.","all of these wonderful educators that were in your life, when you were in the /rd-school-3/ city school system."
but [before i was in the-] before i was [in the school system.],but before i was [in the school system.]
[before] you were in the school system. you're mom.,[before] you were in the school system. you're a mom.
[right. but- but it was a different- it] was a different kind of way.,[right. but-it was a different- it] was a different kind of way.
"and your mom kept on pushing, pushing and calling til they had you tested","and your mom kept on pushing, pushing and calling until they had you tested"
i remember the day at s-,i remember the day at
"um, at /rd-school-4/,","at /rd-school-4/,"
"[and doesn't that] bother you? like,",[and doesn't that] bother you?
like that [still bothers me.],that [still bothers me.]
[i don't think i-] i don't have to think about it. i feel like i know why they gave me a hard time.,"i don't think , i don't have to think about it. i feel like i know why they gave me a hard time."
of what? there were like ten of us?,of what? there were about ten of us?
in my class there were two black students. i don't- i don't-,in my class there were two black students. i don't
"ms.- ms. /rd-name-2/ talk- oh, oh minnie that, huh.","ms. /rd-name-2/ talk oh minnie that,"
that was twent-,that was
because she [was a year- i had her for two years. yep.],because she [was a year- i had her for two years. yes.]
"[i know, two years cause-] yeah i know, yeah.","[i know, two years because-] yes i know, yes."
[but we also had like breakfast] and we- our class was real special.,[but we also had breakfast] and we- our class was really special.
"[oh we did. okay, so back to-] back to high school- back to high- okay.","[oh we did. okay, so back to high school- back to high- okay."
"so, it- so i was about to say, no, we were not okay cause-","so, i was about to say, no, we were not okay because-"
"and it was during that time, like","and it was during that time,"
"didn't really want- they didn't wanna coach girl- they didn't wanna coach girls basketball. it was just the principal said,","didn't really want- they didn't want to coach girl- they didn't wanna coach girls basketball. it was just the principal said,"
"cause coach /rd-name-2/, he was just like, he would sit on the bench. he wasn't tel- i don't know one play coach /rd-name-1/ has taught us yet.","because coach /rd-name-2/, he was just , he would sit on the bench. he wasn't t, i don't know one play coach /rd-name-1/ has taught us yet."
"so you're- okay, so, before we- we gonna come back to that, but before you- your- you- before your-","so you're- okay, so, before we are going to come back to that, but before you-"
"oh i was- oh great. cause it- my senior year,","oh i was- oh great. because it was my senior year,"
"twenty points right here, cause she knows i'm gonna get first place in two events.","twenty points right here, because she knows i'm going to get first place in two events."
"i don't know if it's still up [there, but it's on the board. up on the thing. mm-hm.]","i don't know if it's still up [there, but it's on the board. up on the thing."
[used to be on the back s- yeah. mm-hm.],[used to be on the back s- yes.
yeah. yes.,yes
"i'm like, i know her. (laughing)","i'm lthinking, i know her. (laughing)"
"um, so high school was pretty good.",so high school was pretty good.
problems. i mean i didn't go to anything u-,problems. i mean i didn't go to anything
"you know, i'm saying odd, like","you know, i'm saying odd,"
"no, cause i didn't- i wasn't gonna say- ask anything, or say anything about prom, prom dresses. we didn't-","no, because i didn't- i wasn't going to say- ask anything, or say anything about prom, prom dresses. we didn't-"
so why would i ask for stuff like that?,so why would i ask for things like that?
"so, no. i don't wanna go. i'm good. i'm fine.","so, no. i don't want to go. i'm good. i'm fine."
"[oh, no] it was kind of odd cause i just happened to be in a valdosta mall. i'm not even sure why i was in a mall, cause i am not a shopper.","[oh, no] it was kind of odd because i just happened to be in a valdosta mall. i'm not even sure why i was in a mall, because i am not a shopper."
"/rd-name-3/, i can't even think of her last name now. just slipped my mind, sorry.","/rd-name-3/, i can't even think of her last name now. it just slipped my mind, sorry."
"and i was like, oh hey coach. and she was like, hey /rd-name-3/, blah, blah, blah, blah. and it was just like a few minutes and she told me the lady's name.","and i was like, hey coach. and she was, hey /rd-name-3/, talk,talk, talk . and it was just a few minutes and she told me the lady's name."
"blah, blah, blah, sign here, sign there. and most people w- you have a-","talk, talk, talk, sign here, sign there. and most people you have a-"
[i-] i just signed mine on the bus. we were going to some-,i just signed mine on the bus. we were going to some-
and put it back in the- cause i didn't really think anything of it.,and put it back in the- because i didn't really think anything of it.
"your immediate family, like in your household at that time.","your immediate family, in your household at that time."
"oh, uh, yeah.",yes
"when you left elementary school to go to middle school, it's like, oh no, i wanna stay back. i don't wanna go to middle school, or junior high school.","when you left elementary school to go to middle school, it's like, no, i want to stay back. i don't want to go to middle school, or junior high school."
"and once it's time to leave junior high school and go to high school, oh no, let me stay back. i can't go to high school.","and once it's time to leave junior high school and go to high school, no, let me stay back. i can't go to high school."
hm. so glad i asked it.,so glad i asked it.
"money. cause i- and i just realized,","money. because i- and i just realized,"
"and you get a car, it's like, oh is she gonna get us a car?","and you get a car, it's like, is she going to get us a car?"
"and so i'm not very, uh,","and so i'm not very,"
and you had to do your- like your-,and you had to do your
"um, and that it's not-",and that it's not-
"and so i remember, my- my- my portfolio was themed around dr. seuss, but my teaching philosophy was about","and so i remember, my portfolio was themed around dr. seuss, but my teaching philosophy was about"
"and exposing me to like, the","and exposing me to, the"
[going to the plays.] okay /rd-name-2/ let's go to the play. [/you supposed to say/] when?,[going to the plays.] okay /rd-name-2/ let's go to the play. [/you're supposed to say/] when?
[but- but it's those moments] right? when you're teaching. [and when you're-],[but- it's those moments] right? when you're teaching. [and when you're-]
like /rd-name-3/ was like,/rd-name-3/ was like
"we went- we saw it on the big screen, no. the big- n- the big tv. [the big, big tv, right? so she didn't have] the word for movie.","we went- we saw it on the big screen, no. the big tv. [the big, big tv, right? so she didn't have] the word for movie."
"you, do. it's not simply- it's not simply, oh i'm a teacher. it's not wh- it's not simply just,","you, do. it's not simply, i'm a teacher. it's not it's not simply just,"
"[it is.] and it's not just, oh summer vacation. woo i'm off. nah, it's not like that.","[it is.] and it's not just, oh it's summer vacation. i'm off. no, it's not like that."
"cause even now you're still thinking about, well what can i do next year to make it better.","because even now you're still thinking about, well what can i do next year to make it better."
i know you are. [i know you are.] cause i know- i know-,i know you are. [i know you are.] because i know- 
"um, was it grammar [and-]",was it grammar [and-]
"and- but then i got into, oh, this is how they say it in the south. and this is how they say it in the north and the midwest and the-","and- but then i got into, this is how they say it in the south. and this is how they say it in the north and the midwest and the-"
cause language is so,because language is so
"and i wanna say that life is not just these six blocks that we live. like, you [asked me about] the neighborhood.","and i want to say that life is not just these six blocks that we live. like, you [asked me about] the neighborhood."
cause here i am.,because here i am.
"ay- you asked me about the neighbors. and i mentioned ms. sister earlier. ms. sister used to call grandmom, grandmother.","you asked me about the neighbors. and i mentioned ms. sister earlier. ms. sister used to call grandmom, grandmother."
she was butt naked.,she was completely naked.
"hopscotch and marbles and just, r- hitting a ball on top of the house, or something and she'd yell us,","hopscotch and marbles and just, hitting a ball on top of the house, or something and she'd yell at us,"
y'all hitting up my- in my garage- not garage. what is that? car- car space.,you all hitting up my- in my garage- not garage. what is that? car space.
"she didn't [have a car, who] was gonna drive there?","she didn't [have a car, who] was going to drive there?"
"but she would just yell at us, but you- she loved us- cause i'd play christian music. especially on sunday.","but she would just yell at us, but you- she loved us- because i'd play christian music. especially on sunday."
and who came? i wanna say it was /rd-name-2/. that's dot's brother.,and who came? i want to say it was /rd-name-2/. that's dot's brother.
"for a minute, but you can get all those stories from my sister.","for a minute, but you can get all of those stories from my sister."
"those were the days. yes, sheila, who was about this high, still this high, she has a three kids.","those were the days. yes, sheila, who was about this high, still this high, she has three kids."
"kids today you gotta be worried, okay that got a gun, they carrying drugs dah dah dah dah.","kids today you got to be worried, okay that got a gun, they are carrying drugs and so on."
"i don't know why i'm saying that, but i'm'a say it to you,","i don't know why i'm  saying that, but i going to say it to you,"
woo my gosh. and it was my sister.,my gosh. and it was my sister.
"that was /out/ right- right after my mom had passed and all that. and like, trying to be strong for everybody, you know, and nobody can't see me cry.","that was /out/ right after my mom had passed and all that. and like, trying to be strong for everybody, you know, and nobody can't see me cry."
"what is it, christmas? i'm'a go over do a little- i call it a run by, drive by, go see- you know how you in spirit?","what is it, christmas? i'm going over to do a little- i call it a run by, drive by, go see- you know how you in spirit?"
"so i said okay, well i'm gonna do the same thing.","so i said okay, well i'm going to do the same thing."
cause her dad told her,because her da told her
"that when i was going to school,",that's when i was going to school
it- that- she- she shouldn't tell everybody all her business. she needs to be more like me and hold it in.,it's- that she shouldn't tell everybody all of her business. she needs to be more like me and hold it in.
"uh, okay i'm talking too much. (whispered)",okay i'm talking too much. (whispered)
"uh, what's your lesson plan?",what's your lesson plan?
it was just amazing cause i've always envied her. cause she always seems to have,it was just amazing cause i've always envied her. because she always seems to have
and i- i- that's all i can- you know.,and i- ithat's all i can- you know.
yeah. so that's how i feel.,"yes, so that's how i feel."
cause i- i'm older. i'm wiser.,because i- i'm older. i'm wiser.
"uh-oh, our time is /rind-/ winding-up.","oh, our time is winding-up."
"and um,",x
/rd-name-3/ they hardly exist anymore anyway. [the one's that's living.],x
"[so you got uncle], you got",x
uh-huh.,x
your grandparents.,x
mm-hm.,x
uh-,x
cousins.,x
[cousins.],x
[a lot of my] [cousins.],x
[lots of cousins.],x
"yeah lots of cousins, [so.]","yeah, a lot of cousins, so."
[from-],x
from which side of the family /?/?,x
"my- my mother- all of princeville point blank is my mother's [side, so.]","my mother, all of princeville definitively is my mother's side of the family"
"[oh, okay.]",x
"no, my father- my mother's",x
"daddy's side, but my mother's side,",x
"her- her family is from um,",x
"baltimore, maryland so i know much about- i don't know that much [about them.]",x
[oh yeah?] yeah.,x
[nothing about them.],x
"[well just of the] people that live in [princeville],",x
[uh-huh.],x
so how many,x
family members /should we say/ you got in- in princeville?,x
too many to count? [<laugh>],x
"[i'd be counting for] [days, lord knows] i would.",x
it's a lot [of 'em.],x
[you got] a lot of 'em? [okay.],x
[it's- and] majority of 'em stay there.,x
"and um, only [probably about]",x
[/inaudible/],x
[three or four] to actually move away.,x
"but they moved to rocky mount so it's not that [far, you know.]",x
[yeah.],x
"it's not that far, but um,",x
they was point blank born and raised in princeville,there were raised definitively in princeville
point blank.,definitively
so you got some,x
good friends that you [grew up] here with?,x
[uh-huh.],x
mm-hm.,x
who- who are they?,x
"um, let's see. um,",x
i'm having a [mind blank.],x
[/another/ childhood] friend /inaudible/.,x
"yes, they graduate- wait- let me see. some of 'em-",x
"like, some of my friends um-",x
"i got a girl that, um,","i know a girl that, um,"
she- she goes to- one of 'em go to a and t.,one of them attends  a and t
mm-hm.,x
"one of 'em goes to um,","one of them goes to um,"
appalachian state.,x
mm-hm.,x
one of 'em goes- a lot of 'em- some of 'em,one of them goes- a lot of them- some of them
go- i got two,x
(pause 0.36),go- i know two
that go to ecu.,x
mm-hm.,x
"let's see, where they was gonna go. she went to-","let's see, where were they going to go. she went to-"
mm-hm.,x
and o- somebody there went to,and o- somebody went to
[were all these people you grew up with],x
from-,x
go on to college or?,x
mm-hm.,x
/?/ everybody right here [/go to college/?],x
"[mm-hm. the- my um], graduate class, majority of us went. if they didn't go to college they went to",x
edg- they went to edgecombe community college right down [here.],x
[really?],x
they didn't do nothing.,they did not do anything
mm-hm.,x
that's the advantage on my class. i can thank the lord that,x
"they made it in right mind that we went- we weren't just like,",x
well i graduated,x
[from] high school. that's all i'm gonna do. [so it's like] that.,from high school. that is all i am going to do. that is how it is.
[yeah.],x
"they went- they going to school, [so.]","they went- they are going to school, so"
[lot of] people [going to] school. okay.,a lot of people are going to school. okay.
[mm-hm.],x
"yes. and um,",x
"miss /rd-name-2/, her daughter? [she-] she stays in princeville now.",x
[yeah.],x
yeah.,x
"her daughter goes to north carolina state, [so]",x
"[oh], okay.",x
yeah.,x
she's doing- she- she's a j-,x
/rd-name-5/ is a,x
junior there.,x
she's a junior.,she is a junior.
i think she's a junior.,x
okay.,x
she a junior. she's a junior.,she is a junior. she is a junior.
"oh, okay.",x
she a junior at state,she is a junior at state.
[okay. okay.] okay.,x
cool cool.,i understand
"her mother still staying,","her mother is still staying there,"
and they have a beautiful home.,x
yeah.,x
beautiful. oh my lord. it is beautiful.,x
and she decorated everything in here so you can probably imagine how her house look.,and she decorated everything in here so you can probably imagine how her house looks.
yeah.,x
her house is nice.,x
nice.,x
"so what is uh,",x
"you know, that-",x
what's- what is there-,x
what's going in princeville these days? is there-,what is going on in princeville recently? is there
it's a lot of [activity /??/?],x
"[um], we had- our church um,",x
i think it- like a month ago- had um-,x
we had a night against crime.,we held a night against crime
[had a] what now?,had a what?
night against [crime.],x
[oh] okay.,x
"that's when all the kids in the neighborhood um, come to our church and um,","that is when all of the kids in the neighborhood um, come to our church and um,"
(pause 0.43),x
"we have /different/ um,",x
programs like um-,x
"think we have some self defense ones,","i think we have some self defense,"
mm-hm.,x
"um,",x
"talking about like,","talking about,"
"just child prevention,",x
"child abuse,",x
"different things like, don't talk to strangers [if you see] one.",x
[mm.],x
"um,",x
"just different things, and we had um-",x
"oh my lord, we had a lot of nice stuff. we had a little carnival one time.",x
oh yeah?,x
"mm-hm. it's- it was like- it was sponsored by the um, fire department.",x
mm-hm.,x
"all the neighborhood kids come out, um-","all of the neighborhood kids came out, um-"
watch [/???/],x
[uh-huh.],x
[oh.],x
okay.,x
okay.,x
"um,",x
let's see. we h- what else?,x
now what are you in school for again?,what are you in school for now?
psychology.,x
okay.,x
[psychology.],x
[/?/] and this your first year?,and this is your first year?
my first [year.],x
[yeah?] do you like that major or [you-],x
[yeah.],x
you really probably haven't got a chance to take all your [classes.],you probably have not had a chance to take all of your classes.
"[it's-] yeah. but i'm looking into it. i'm like,",x
"it's gonna be tough, but that's what i wanna do.","it is going to be tough, but that is what i want to do"
what are you [taking this] term- this semester?,x
[i'm-],x
"um,",x
"just my basic- my- my math,",x
"um,",x
"my health class,",x
uh-huh.,x
english.,x
"i only got one more english to take, so i'm glad of that.","i only have one more english class to take, so i'm glad for that."
uh-huh.,x
um- <laugh>,x
you don't like english?,x
"no, i don't like math either, [but]",x
"[you] gotta take 'em, so. and i only got one more math to take",you have to take them and i am only required to take one more math course
that's all. i'm stopping there.,x
you okay? <laugh>,x
i'm'a stop there. i'm [not going /unintelligible/.],i plan to stop there
"and um,",x
"uh, let's see. um,",x
"some general ed. classes, but um,",x
"next semester,",x
it'll be on.,x
"i'm only taking one psych class, and that's a mini orientation class. it's new.","i am only taking one psych class, and that is a mini orientation class. it is new."
okay.,x
they try to bring you into what you gonna look for- look,they bring you into what you are going to look for- look
forward into getting into when you,x
"get into your major class in psych,",x
"[and] just um,",x
it's good.,x
"but i see right now, it's-",x
it's- it's no joke.,x
no?,x
"it is no joke. like,",x
"i was like, god be with me, be with me. but um-","i said, god be with me, be with me. but um-"
what's the average day up there in school for you?,what is the average day in school like for you?
[ah.],x
[like /when you-/],x
it's hectic because i do work study too.,x
oh really?,x
"so it's like,",x
"go to classes, go to work-",x
like even between my classes i have- i work.,x
"i'm really not into like, working at night time.",x
(pause 0.51),i am really not interested in working at night time
i just-,x
i think because,x
so much,x
"gen. ed. classes where i was like,",x
i just need my d-,x
my night time to myself.,x
mm-hm.,x
so i go to class and then-,x
then i go to work um-,x
"<ts> it's just tough. like, [even] when some weekends come i still feel like i'm doing work, like-",x
[mm.],x
yeah.,x
"like, wait, i got time to myself, but then i'm home this week,","like, wait, i have time to myself, but then i am home this week,"
took midterms. my last midterm was,x
"thursday, [and i was like,]",x
god [i'm],x
ready- i'm [ready to get home.] i'm glad,x
thursday was my last midterm.,x
"so when i came yesterday, i sat home. i was- oh i was in heaven, like,",x
"thank you. i'm glad not to be in the dorm life, so",x
yeah.,x
i'm glad just to be home.,x
what are you doing for the break?,x
nothing.,x
nothing?,x
i'm doing nothing.,x
okay.,x
"white people be like,",white people might say
well i wanna go,x
"to the beach, and i'm like, you know, what? the beach ain't too far for me,","to the beach, and i'm like, you know what? the beach is not far from my home"
<ts> i don't think i'm gonna [make it.],x
i just- i just want time to sit and just-,x
just chill.,just relax
yeah.,x
like i'm just gonna chill. just out there.,i plan to just relax out there
have nothing planned because i got the house to myself because my mother,have nothing planned because i have the house to myself because my mother
"now they gone to greensboro. i'm like,","now they have gone to greensboro. i said,"
"hey i just left from greensboro. y'all goin there, [you know, but]","hey, i just left from greensboro. you all going there, you know, but"
"[oh, okay.]",x
"she was like, you don't wanna go the acc? i was like,","she said, you do not want to go to the acc? i said,"
no.,x
i wanna stay home.,i want to stay home
"so when i leave from here, i'm going home and [just]",x
[okay.],x
"look at television, and call it a day.",x
i'm leaving school work to the side cause i don't have nothing due,i'm leaving school work alone because i do not have anything due
when i left,x
"friday, i left school for a whole week.",x
yeah.,x
so i'm just-,x
"[then] when i come back, i'm like, okay, this, and i gotta get back on the ball and be ready for finals,","then when i cam back, i said, okay, this, and i have to get back on the ball and be ready for finals"
[so.],x
[mm-hm.],x
"after that,",x
i'm good to go.,x
yeah.,x
now looking forward to seeing the summer.,x
yeah.,x
"may the fourth, that's what i'm looking forward to.",x
that's our last day for [classes.],x
[okay.],x
so.,x
and then what happens?,x
then it's the summertime. then i'm- i'm going- i'm-,x
"i don't know if i wanna do full time or part time at the community colleges to do um,",x
<ts> take like one or two of my psych classes in summer,x
(pause 0.27),x
other general ed. [classes.],x
[mm-hm.],x
i don't know if i wanna. i'm leaning towards doing it because i get ahead.,i do not know if i want to. i am leaning towards doing it because i will get ahead.
mm-hm.,x
then,x
"being further behind, i get ahead on some of my classes and um,",x
i'm definitely gonna work.,i am definitely going to work.
"save up for money, just",x
"if anything happened,",x
"like if i don't get a certain scholarship grant that i want, i have something to fall back on.",x
mm.,x
how much it cost at state?,because how much does state cost?
"oo, you know, that's a good question. cause it's- it's different.",x
"/?/ grad students, so [/inaudible/.]",x
"[oh, okay. okay.]",x
"well,",x
"in /rd-school-2/, it's sixteen thousand, so",x
wow.,x
it's like,x
[that's a lot.],x
[you know?],x
yeah.,x
"and it's a private school, so",x
okay.,x
"that's a big difference between- it was public and private, you know, but",x
[so you said] /rd-school-2/ is where you go?,x
[some are-],x
[uh-huh.],x
[yeah.],x
it's a small school?,x
uh-huh.,x
okay. [what made you decide] to go there?,x
[we have-],x
"um,",x
(pause 0.55),x
a lady from um-,x
"she stayed in princeville, too.","well, she lived in princeville"
[okay.],x
"and um, she",x
[got her-],x
[who was that?],x
mkay.,okay
"she works in uh, /rd-work-5/ in uh,",x
"rocky mount, and um-",x
she works for what now?,she works for who?
/rd-work-5/. it's a health um-,x
"it's a health administrating building. like,",x
"um,",x
"they go to different schools,",x
"um, talk about um, different health",x
resources.,x
[mm-hm.],x
"[you] know,",x
different programs to s-,x
help-,x
like if you're a diabetic- so and so's a-,x
"cancer or anything,",x
"support system. it's very nice, and um,",x
she got her masters i think at indiana university?,she received her masters i think at indiana university
mkay.,okay
"and um, she was like,","and um, she said,"
/rd-name-2/ so and so,x
"/rd-school-2/ this, /rd-school-2/ that, /rd-school-2/ [and i] was like okay. i was like, let me try it out.",x
"i went, and it's- it's cool.",x
why was she so excited about /rd-school-2/?,x
"i don't [know, i-]",x
"i guess- i don't know. it's- it's- you know, honestly, with that school,",x
um-,x
and you jump in the rope and start to jumping.,and you have to jump in the turning rope and start jumping over it. 
"person gotta uh,","the person has to, uh, "
"and while the um, some more children hide,",more children hide 
you got try to find 'em.,and you have to try and find them. 
"you sposta uh,","you are supposed to, uh, "
everybody put your feet in,everybody puts thier feet in 
and somebody say,and somebody says 
