AAVE Sentence,Predicted SAE Translation,Target SAE Translation,BLEU Score
oh yeah [UNK] i know where dunkin donuts at,yes i i know where being right is right at,yeah yelling i know where dunkin donuts is located,0.13826707794313167
yeah cause she was on [UNK] [UNK] but she was just an [UNK],because she was on everything but she she was just getting dollar,because she was on [UNK] [UNK] but she was just an [UNK],0.33180774028439425
i dont know you can aks my friend,dont know you can walk my friend,dont know you can ask my friend,0.488923022434901
trick or [UNK] uh trick and [UNK] laugh,or some and and,or [UNK] laugh,0.061033220311973134
yeah like they just got they [UNK] done like my [UNK] on [UNK],like they got have different problem for we my father t not,like they just got their [UNK] done like my [UNK] are on [UNK],0.052241690397624094
ay you asked me about the [UNK] and i mentioned ms sister earlier ms sister used to call [UNK] grandmother,knew me about the and and i still crying three that because football to get it,asked me about the [UNK] and i mentioned ms sister earlier ms sister used to call [UNK] grandmother,0.09123931618808147
kind of dont wanna stay in the [UNK] ive never wanted to stay in the [UNK] i for the last ten years i wanted to,of people do to stay in the hallway and always gone to stay in the hallway would to program name and i know to,of dont want to stay in the states ive never wanted to stay in the states i for the last ten years i wanted to,0.20460564609363302
me and her was having a meeting she just called me up one day shes like come over lets have a meeting im like alright,and her was a a big she told told me up one day just a to here all a lot like like,and her were having a meeting she just called me up one day shes like come over lets have a meeting im like alright,0.13963043746641254
[UNK] put his foot in my [UNK] real quick,his his number in in class to,put his foot down real quick,0.03235934848975789
but she used to always like,she used to always like,she used to always,0.668740304976422
my [UNK],manager,ninth,0.0
do you hear what im saying,you undertand,you understand,0.06754436142034707
she wants to do something too so she keep on doing it,attends to do something so she would had on anything it,wants to do something too she she keeps on doing it,0.13806117619808217
like what where are other places have yall have yall been to,what are are you places people that all are been,what where are some other places you all have been to,0.03321926354096528
in [UNK],order,the [UNK],0.0
i aint r actually played it but you know i took it at school ill take it at school when i take gym thats the only time,will not that it but you know i know it is school i have that is the i fuss rdname2 for the school,didnt actually play it but you know i took it in school ill take it at school when i take gym thats the only time,0.1680498468672246
yeah when i was younger i wasnt here like i aint even know this [UNK],i was scared i was tell this i i girlfriend i,i was younger i didnt know that programs like the boys and girls club [UNK],0.039932946745487606
mmmm see i dont have friends like that,i dont have your like that,i dont have friends like that,0.293945703509473
theyre like yeah [UNK] up and and [UNK] [UNK] in our in our neighborhood please,like were come up yes and its its in little in our neighborhood their neighborhood,agree and are [UNK] up and and [UNK] a [UNK] in our in our neighborhood please,0.09336208683234738
notice or if you see how the city is changing cause youre,if if you see how it city would because because you,or if you see how the city is changing because youre,0.2596535889340338
so [UNK] j [UNK] was glad,every how we fun,[UNK] [UNK] was glad,0.0
does that mean its a lot of a lot of members,that its its are a lot of kids,that mean there are a lot of members,0.3655552228545123
im im tryna you know figure things out like whats going on,am try am about to feel like like are going on,am i am trying to figure things out and what is going on,0.05441970452959422
and i got six months to find a job,i have to to to a a job,i have six months to find a job,0.1065095472357353
you have a group of friends you ever play with,you have a particular of friends with you have with,you have a group of friends that you play with,0.17599531690857192
and it just show you,just just me,just shows you,0.07249749990681824
like,fine like,not like id wake up,0.015071184180845467
he say you bring back a dirty piece of paper ima jone on you,is you are a a while of of the going going to bring you,said you bring back a dirty piece of paper im going to [UNK] you,0.05643910181236486
you can be successful they be like,can be from with they like like,can be successful and people may still,0.081939171811711
girl you still got time,you have,you still have time,0.02954963475031825
it s it feel like,is is like,it feels like,0.07249749990681824
can change kind of your neighborhood and can change how people look at you and how people,make you kind can make you you you at you and kill and you,change your neighborhood or change how people look at you and how people,0.09010288336595924
that just how that just how it went,how how that how to,just how thats just how it went,0.03638962402527969
or whos gonna be,are going to be,whos going to be,0.43146827293898643
and we cool we,we are saying are,we are cool we,0.16821895003341453
yep she works for a [UNK] um on the east side,for is for a long on on the other side,she works for a [UNK] um on the east side,0.08516138411042476
and the guy was like,the the was,this guy said,0.0
ts i watched my mother [UNK] with that you know [UNK] with tryna um,i always my mother my with that you know good with to,i watched my mother [UNK] with that you know [UNK] with trying to um,0.23618189362022804
so i would ask you to like start at the beginning and tell me about kind of,i would ask you look at at look at the house and then me stay me,i would like to ask you to start at the beginning and tell me about,0.06779027259455446
the years,the birthday,my time on campus,0.0
we would go by the some people were coming by to get the drugs you would see like,would go to the same people in to to the the you would see,would go by the some people came by to get drugs you would see,0.12742471966506072
and so loyalty now like the last two years i never thought of it this way,the parents the two i got got theres it of is,the past two years i never thought of loyalty this way,0.030544559360566513
i mean i was like,mean i was,mean i said,0.21177974141341938
laugh cause yall went to the same high school,even you need to the high school school,because you went to the same high school,0.1065095472357353
stopped going to church because of my [UNK],will going to say because of had moms,stopped going to church because i lost [UNK] in my [UNK],0.05417618525543734
i could understand fast like my grandma and my cousins,could work like my my my and my class,could understand [UNK] like my grandma and my cousins,0.09452229951416066
like i dont think,think not think think,[UNK] you to,0.0
i look on the [UNK] theres flashy beautiful colors,look on the back very and a money a,look on the [UNK] there are flashy [UNK] colors,0.1444977144915524
and thats why i like him he aint mean,thats why i feel him didnt that,thats why i like him he isnt mean,0.1798627802065924
dont nobody bother her its,dont us too so,bothers her its,0.0
none of em,of them,of them,0.2213885886251307
thats all i mostly know about it,all issue i am about it,the most i know about it,0.10754421249521595
thats good and bad in itself,nice good drugs one in,both good and bad,0.0456496931223525
he do anything,does not,does anything,0.06754436142034707
this this science to it like nah man purple is the color,this it is it a like two thing,to it like no purple is the color,0.03763921292692165
now those four people gonna turn in to eight or nine people,growing games are are going to be in to or could,those four people are going to turn into eight or nine people,0.11391146510406286
too cause that,because of,because that,0.06754436142034707
i done ha ive had a few,been a fight dollars,had a few,0.061033220311973134
um get s killed,me,let him get killed,0.0
those people i think are the [UNK] im,think its the the the of of,think those people are the most genuine,0.03848196746087264
it was being ran by a white guy,was formerly right a city guy,was ran by a white guy,0.049475702907177795
like i am not gonna feel [UNK] because my hair doesnt really [UNK],i not going to be because because my mother friend really,im not going to feel [UNK] because my hair doesnt really [UNK],0.13951248267890293
fifteen at the time he was still a young kid we were all still little kids but he had a gun,at the time time was a problems one we were all of kids because he had a lot,at the time he was a young kid we were all young kids but he had a gun,0.1774620092722546
even if i w,though i get,if i,0.07249749990681824
hm if youre smart enough so you can get a scholarship,youre not because so can get a education,youre smart enough you can get a scholarship,0.17739111163122614
love she love him,loves him,loved him,0.06754436142034707
uh excuse me,me,me,1.0
okay i remember we was in wed just be in gym,i remember we were in a we in in me,i remember we were in wed just be in gym,0.4111336169005197
its like one of them houses where all the people,like lot to them of them people,a house where all of the people,0.03848196746087264
yall cannot be fighting yes we could be fighting because hes not gonna,are have make make because we would say because he not going,all can not fight yes we can fight because hes not going to,0.052241690397624094
i could tell i could tell y i could tell just about any racist white person,could tell you to could tell you talking any words its,could tell you i could tell just about any racist white person,0.13951248267890293
obamacare be like okay,or okay okay,is like okay,0.07249749990681824
or just coming down here period,come come here for,just being there,0.0
rook,time that,a [UNK],0.0
before it went to middle [UNK] cause it was middle school at one point,it went to try because because it was going high one school time,it went to middle [UNK] because it was middle school at one point,0.17586741143280613
hey but would you be able to do that without like that,you would ready to do that you that,you be able to do that without,0.17739111163122614
the ball like is right there as soon as he snap the ball you ready to hit him,especially like guns there is is as the is to other side are not to the him,ball is right there as soon as he [UNK] the ball you are ready to hit him,0.02429486121643153
their little barn or whatever by [UNK] or something like that,little or something stay are my or that like that,little [UNK] or whatever by himself or something like that,0.08913289712923907
i want em to s i wanna see them do better,want to to workout i want to see them,want them to s i want to see them do better,0.38875142041440197
this is too much,is too too to,much is going on,0.061033220311973134
people how [UNK] how many how much people like you,are are how are how like you,how many how much people like you,0.09744264611591712
now im not little but,not judging but,not little anymore,0.07249749990681824
if a [UNK] of blood get on your bed then how you gonna feel,you lot in a on a your moms you you are you going to feel,a [UNK] of blood get on your bed then how are you going to feel,0.27668736912821895
is that right how come you wanna be a doctor,fucking you you you you want a a life,that right why do you [UNK] be a doctor,0.030601688609851067
thats what we all have in common all three of us,what we have have your your all,what we all have in common,0.09744264611591712
yeah talking about that cheetah,about after studying about that room time,are you talking about the cheetah print one,0.028051604056085533
i live in a apartment with my foster mom,live in a family with my mom mom,live in an apartment with my foster mom,0.1065095472357353
she like she she like him now but he dont like her,likes she she he he doesnt not like her,likes him now but he does not like her,0.16418110161559327
i gotta go whispered,have to go to,have to go,0.43146827293898643
nine oclock you gotta be home,or you have to be worried,oclock you have to be home,0.5081327481546147
oh you cant watch tv even though you finished your homework cause [UNK] didnt finish his homework and hes gonna be [UNK] like,you cant watch my she walk youre did other did did we going my girls he going to be more,you cant watch tv even though you finished your homework because [UNK] didnt finish his homework and hes going to be [UNK] like,0.0907644187556206
youre like well its an island,think about its matter,think its an island,0.07258113984652705
[UNK] [UNK] my dad was [UNK] in l,my my dad was in in,[UNK] my dad was born in l,0.2126348205471515
my hood girls gonna be mad because im talking to you and you my,family are are going to be sure at im not to you and you,neighborhood girls are going to be mad because im talking to you and youre my,0.24752151086880242
i get that i get that,get i,understand,0.0
i do like uh um i do like [UNK],do like being do like i i,do like i do like [UNK],0.24279161784109232
rdschool4 like they are [UNK] and [UNK] and weird and like different and i do appreciate that about our city cause those are the people who would probably talk to me and start a conversation like,they are looking and ill and ill and ill ill and i do not and by the fuck and you thing up most who told give give to me and i a lot,they are [UNK] and [UNK] and weird and like different and i do appreciate that about our city because those are the people who would probably talk to me and start a conversation like,0.08151611462524151
and yeah,yes,yes,1.0
so you like r and b do you do a lot of parties and stuff,you like to and that you do to and lot and and,you like r and b do you go to a lot of parties,0.0600864759079645
so in another words you have [UNK],in another forestville in got got,in other words you have [UNK],0.03759340464156993
it have four,has another colors,has four,0.07249749990681824
laugh yeah i got [UNK] more,i got got him negative,i have [UNK] more,0.0456496931223525
its probably kind of cool right,kind are in right,it feel nice,0.0
its a good thing,a good thing,a good thing,0.5757197301274735
that the person gonna die is it gonna happen just gonna happen that person just gonna die,the person that going to just if it is to happen that that to hurt,the person is going to die is it going to happen just going to happen that person is just going to die,0.08660054304642115
if you frozen again,you confronted walking,you are frozen again,0.05194672862155564
you know with they with they food,the kids they,their food,0.0
laugh did you call were you like [UNK],you you call you you like you,did you call were you like let me try [UNK],0.07548842449272745
is it like turf like is it,like like like it,it [UNK] is it,0.061033220311973134
you [UNK] been had him like you coulda,are have to like like you you,couldve had him awhile ago like you could have,0.06814441179181165
and the three bears came back,three bears in chasing,three bears came back,0.16821895003341453
they might still think im about to take some something in the store,are think im about to take a of in the neighborhood,might think im about to steal some something from the store,0.24808415001701817
my uncles is out back playing dice its,mother ththose out in and and,uncles were out back playing dice its,0.03182213000550693
how far dc came and just how the world change,is matter them bread of just the,and how the world has [UNK],0.03235934848975789
you know my mom o had only had two kids my da my dad had other,mom had me had had a of had mother i mother had into,mom o had only had two kids my da my dad had others,0.026480261910431388
like if i have if im gonna be sitting watching sports most likely its gonna be football first,if i have people im going to be up here another times is going to be going,if i have if im going to be sitting watching sports most likely its going to be football first,0.2352334021058969
the streets gonna,white has going,street life,0.0
was,fine at,found,0.0
it going to be an interesting time to [UNK],going to be a housing between,going to be an interesting time to [UNK],0.16750095488258637
come from from like out of town theyll be like yo whats up with the accent im like,from from the of an theyre like hey what the with the kids im like,from from out of town theyre like hey whats up with the accent im like,0.14258397092929398
you know it was six grade like i said im being the only child,it was close grade because i said im am saying the the is is,it was sixth grade like i said i am [UNK] he only child,0.06458042446538513
my second year me coming down here,my third year i me boys and girls club,my second year at the boys and girls club,0.3303164318013807
at me because i aint know the answer,me because dont know the answer,because i didnt know the answer,0.25119835939119545
when i got my [UNK] oh it was last year at august,was my my it my grade was my first it at,was last year in august when i got my [UNK] license,0.02568481047180467
he he aint call you a bitch he just,he not call you a bitch is is,did not call you a bitch he just,0.5410822690539396
i dont even like love and hip hop like that no more thats crazy,dont even say hi and say say that that situation,dont even like love and hip hop like that anymore thats crazy,0.055449650454634784
but we d d we do have like,we are say say a,we would would have,0.0456496931223525
so i sat then he move,i mean on he was,i sat then he moved,0.05428693985879238
that sound like a motherfucker right there,is like a rottweiler few right,sounds like a whole person,0.09717716588732002
everybody say they say bruh,says where say,says they say bruh,0.06177541927786947
shes a junior,is a junior,is a junior,0.5757197301274735
yeah she my friend but i dont hang with her that much,she dove i friends i i dont not love with with that that,she is my friend but i do not hang out with her that much,0.025926417583718425
and we used to [UNK] them yeah just pee,used to stay them just just,used to [UNK] them just pee,0.1374292659508281
you sh sounds like you sure tried though laugh,felt i you you think to,sh sounds like you tried,0.03759340464156993
thats thats my whole [UNK] ive [UNK] so much time thinking about what i wanna do,that my forever thing has been of so old i want to do,thats my whole [UNK] ive spent so much time thinking about what i want to do,0.1699121756212189
as long as were tryna become [UNK] to them,long as the are going to play,long as we are trying to become equal to them,0.06347794554908522
either y way i dont have no favorite teacher i just stay [UNK] and make sure i do all my work,man no i dont have a favorite teacher i just try next and its i i dont not my my work,y way i dont have a favorite teacher i just stay [UNK] and make sure i do all of my work,0.37629571493834174
and its funny then their children later on,located but other could,ironic then their children,0.0
ran away somewhere and they were by [UNK],and like like they are living,away somewhere and they were by themselves,0.03784310341709043
